MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10003448599,000000000023738688,0.206,Active Import Interval (kW),04-10-2024 01:00
10003448599,000000000023738688,0.302,Active Import Interval (kW),04-10-2024 00:30
10003448599,000000000023738688,0.276,Active Import Interval (kW),04-10-2024 00:00
10003448599,000000000023738688,0.242,Active Import Interval (kW),03-10-2024 23:30
10003448599,000000000023738688,0.268,Active Import Interval (kW),03-10-2024 23:00
10003448599,000000000023738688,0.588,Active Import Interval (kW),03-10-2024 22:30
10003448599,000000000023738688,0.262,Active Import Interval (kW),03-10-2024 22:00
10003448599,000000000023738688,0.212,Active Import Interval (kW),03-10-2024 21:30
10003448599,000000000023738688,0.252,Active Import Interval (kW),03-10-2024 21:00
10003448599,000000000023738688,0.278,Active Import Interval (kW),03-10-2024 20:30
10003448599,000000000023738688,0.228,Active Import Interval (kW),03-10-2024 20:00
10003448599,000000000023738688,0.238,Active Import Interval (kW),03-10-2024 19:30
10003448599,000000000023738688,0.276,Active Import Interval (kW),03-10-2024 19:00
10003448599,000000000023738688,0.222,Active Import Interval (kW),03-10-2024 18:30
10003448599,000000000023738688,0.276,Active Import Interval (kW),03-10-2024 18:00
10003448599,000000000023738688,0.248,Active Import Interval (kW),03-10-2024 17:30
10003448599,000000000023738688,0.278,Active Import Interval (kW),03-10-2024 17:00
10003448599,000000000023738688,0.398,Active Import Interval (kW),03-10-2024 16:30
10003448599,000000000023738688,0.942,Active Import Interval (kW),03-10-2024 16:00
10003448599,000000000023738688,0.278,Active Import Interval (kW),03-10-2024 15:30
10003448599,000000000023738688,0.240,Active Import Interval (kW),03-10-2024 15:00
10003448599,000000000023738688,0.300,Active Import Interval (kW),03-10-2024 14:30
10003448599,000000000023738688,0.450,Active Import Interval (kW),03-10-2024 14:00
10003448599,000000000023738688,0.302,Active Import Interval (kW),03-10-2024 13:30
10003448599,000000000023738688,0.206,Active Import Interval (kW),03-10-2024 13:00
10003448599,000000000023738688,1.168,Active Import Interval (kW),03-10-2024 12:30
10003448599,000000000023738688,0.180,Active Import Interval (kW),03-10-2024 12:00
10003448599,000000000023738688,0.184,Active Import Interval (kW),03-10-2024 11:30
10003448599,000000000023738688,0.230,Active Import Interval (kW),03-10-2024 11:00
10003448599,000000000023738688,0.254,Active Import Interval (kW),03-10-2024 10:30
10003448599,000000000023738688,0.338,Active Import Interval (kW),03-10-2024 10:00
10003448599,000000000023738688,0.182,Active Import Interval (kW),03-10-2024 09:30
10003448599,000000000023738688,0.200,Active Import Interval (kW),03-10-2024 09:00
10003448599,000000000023738688,0.158,Active Import Interval (kW),03-10-2024 08:30
10003448599,000000000023738688,1.674,Active Import Interval (kW),03-10-2024 08:00
10003448599,000000000023738688,2.758,Active Import Interval (kW),03-10-2024 07:30
10003448599,000000000023738688,0.118,Active Import Interval (kW),03-10-2024 07:00
10003448599,000000000023738688,0.192,Active Import Interval (kW),03-10-2024 06:30
10003448599,000000000023738688,0.216,Active Import Interval (kW),03-10-2024 06:00
10003448599,000000000023738688,0.268,Active Import Interval (kW),03-10-2024 05:30
10003448599,000000000023738688,0.274,Active Import Interval (kW),03-10-2024 05:00
10003448599,000000000023738688,0.274,Active Import Interval (kW),03-10-2024 04:30
10003448599,000000000023738688,0.276,Active Import Interval (kW),03-10-2024 04:00
10003448599,000000000023738688,0.266,Active Import Interval (kW),03-10-2024 03:30
10003448599,000000000023738688,0.216,Active Import Interval (kW),03-10-2024 03:00
10003448599,000000000023738688,0.222,Active Import Interval (kW),03-10-2024 02:30
10003448599,000000000023738688,0.256,Active Import Interval (kW),03-10-2024 02:00
10003448599,000000000023738688,0.274,Active Import Interval (kW),03-10-2024 01:30
